[2017-10-01 13:29:27] ShadowsocksR started on port 1080
[2017-10-01 14:58:50] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:50] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:51] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:51] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:51] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:51] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:51] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:53] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:54] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:54] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:54] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:54] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:57] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:00] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:00] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:00] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:00] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:00] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:01] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:01] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:02] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:04] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:05] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:05] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:05] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:05] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:10] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:11] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:11] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:11] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:11] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:12] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:13] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:13] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:14] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:15] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:15] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:15] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:16] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:16] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:17] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:17] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:17] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:17] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:19] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:59:19] [Warn]Proxy server [(172.104.96.21)] connection refused
